date,location_id,waste_type,source,waste_volume
2024-01-01,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,19268.63
2024-01-02,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,3916.97
2024-01-03,global_food_wastage_dataset,Dairy Products,global_food_wastage_dataset,9700.16
2024-01-04,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,46299.69
2024-01-05,global_food_wastage_dataset,Beverages,global_food_wastage_dataset,33096.57
2024-01-06,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,11962.89
2024-01-07,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,45038.72
2024-01-08,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,12791.2
2024-01-09,global_food_wastage_dataset,Meat & Seafood,global_food_wastage_dataset,14795.65
2024-01-10,global_food_wastage_dataset,Grains & Cereals,global_food_wastage_dataset,12118.32
2024-01-11,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,39478.7
2024-01-12,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,41025.9
2024-01-13,global_food_wastage_dataset,Beverages,global_food_wastage_dataset,22924.85
2024-01-14,global_food_wastage_dataset,Beverages,global_food_wastage_dataset,29295.07
2024-01-15,global_food_wastage_dataset,Bakery Items,global_food_wastage_dataset,32457.98
2024-01-16,global_food_wastage_dataset,Meat & Seafood,global_food_wastage_dataset,43264.26
2024-01-17,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,23131.08
2024-01-18,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,18483.82
2024-01-19,global_food_wastage_dataset,Meat & Seafood,global_food_wastage_dataset,25829.56
2024-01-20,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,11314.08
2024-01-21,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,10653.37
2024-01-22,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,1322.82
2024-01-23,global_food_wastage_dataset,Meat & Seafood,global_food_wastage_dataset,33403.26
2024-01-24,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,30875.29
2024-01-25,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,33085.77
2024-01-26,global_food_wastage_dataset,Beverages,global_food_wastage_dataset,12336.2
2024-01-27,global_food_wastage_dataset,Bakery Items,global_food_wastage_dataset,5949.18
2024-01-28,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,17470.52
2024-01-29,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,41676.18
2024-01-30,global_food_wastage_dataset,Meat & Seafood,global_food_wastage_dataset,20604.34
2024-01-31,global_food_wastage_dataset,Bakery Items,global_food_wastage_dataset,49310.46
2024-02-01,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,26812.66
2024-02-02,global_food_wastage_dataset,Bakery Items,global_food_wastage_dataset,17868.63
2024-02-03,global_food_wastage_dataset,Bakery Items,global_food_wastage_dataset,13732.64
2024-02-04,global_food_wastage_dataset,Beverages,global_food_wastage_dataset,29827.95
2024-02-05,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,28802.2
2024-02-06,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,29848.3
2024-02-07,global_food_wastage_dataset,Grains & Cereals,global_food_wastage_dataset,39420.56
2024-02-08,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,37292.94
2024-02-09,global_food_wastage_dataset,Beverages,global_food_wastage_dataset,44797.11
2024-02-10,global_food_wastage_dataset,Bakery Items,global_food_wastage_dataset,40398.07
2024-02-11,global_food_wastage_dataset,Dairy Products,global_food_wastage_dataset,13679.64
2024-02-12,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,11766.79
2024-02-13,global_food_wastage_dataset,Meat & Seafood,global_food_wastage_dataset,24444.03
2024-02-14,global_food_wastage_dataset,Bakery Items,global_food_wastage_dataset,15476.91
2024-02-15,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,2751.15
2024-02-16,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,20238.65
2024-02-17,global_food_wastage_dataset,Dairy Products,global_food_wastage_dataset,8731.68
2024-02-18,global_food_wastage_dataset,Grains & Cereals,global_food_wastage_dataset,23609.83
2024-02-19,global_food_wastage_dataset,Grains & Cereals,global_food_wastage_dataset,38427.68
2024-02-20,global_food_wastage_dataset,Bakery Items,global_food_wastage_dataset,33550.41
2024-02-21,global_food_wastage_dataset,Beverages,global_food_wastage_dataset,45243.85
2024-02-22,global_food_wastage_dataset,Meat & Seafood,global_food_wastage_dataset,30022.09
2024-02-23,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,49481.61
2024-02-24,global_food_wastage_dataset,Grains & Cereals,global_food_wastage_dataset,13313.78
2024-02-25,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,33936.66
2024-02-26,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,26418.47
2024-02-27,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,25204.06
2024-02-28,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,3891.45
2024-02-29,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,29007.66
2024-03-01,global_food_wastage_dataset,Meat & Seafood,global_food_wastage_dataset,32727.8
2024-03-02,global_food_wastage_dataset,Dairy Products,global_food_wastage_dataset,46189.14
2024-03-03,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,1104.56
2024-03-04,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,41701.22
2024-03-05,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,11484.88
2024-03-06,global_food_wastage_dataset,Beverages,global_food_wastage_dataset,23043.63
2024-03-07,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,49640.44
2024-03-08,global_food_wastage_dataset,Frozen Food,global_food_wastage_dataset,47373.71
2024-03-09,global_food_wastage_dataset,Dairy Products,global_food_wastage_dataset,16464.38
2024-03-10,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,26111.99
2024-03-11,global_food_wastage_dataset,Grains & Cereals,global_food_wastage_dataset,29147.18
2024-03-12,global_food_wastage_dataset,Dairy Products,global_food_wastage_dataset,12894.18
2024-03-13,global_food_wastage_dataset,Fruits & Vegetables,global_food_wastage_dataset,24353.78
2024-03-14,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,46296.01
2024-03-15,global_food_wastage_dataset,Prepared Food,global_food_wastage_dataset,35998.11
